Code,mean_electricity,mean_heatingfuels
GGY,-0.022586918,-1.023243313
GHA,0.07077399,-0.112157515
GIB,0.086190199,-0.502106332
GIN,0.036223185,0.088738472
GLP,0.221694183,-0.263077545
GMB,0.058905774,-0.173083561
GNB,0.056881594,-0.036223229
GNQ,0.461248996,-0.424691167
GRC,0.35168319,-1.167880231
GRD,0.252051442,-0.310542298
GRL,-0.134562482,-1.679822554
GTM,0.08558444,-0.443163227
GUF,0.294159791,-0.37967159
GUM,0.269351877,-0.391973259
GUY,0.108610803,-0.368044933
HKG,0.616490399,-0.692398618
HND,-9.16E-05,-0.148896839
HRV,0.048236489,-1.332056295
HTI,0.068674483,-0.082834973
HUN,0.000407143,-1.608895424
IDN,0.316386732,-0.369504928
IMN,-0.040390265,-1.090926253
IND,0.360431567,-0.515560738
IRL,-0.058520897,-1.298653024
IRN,0.178386298,-0.998953331
IRQ,0.499872124,-0.822086543
ISL,-0.453221611,-2.134258122
ISR,0.288807822,-0.574465864
ITA,0.22736786,-1.458202978
JAM,0.36512166,-0.364835444
JEY,-0.020682442,-1.027274414
JOR,0.10695834,-0.538694625
JPN,0.131291172,-1.303977032
KAZ,-0.173865325,-2.070082477
KEN,-0.02550038,-0.046943061
KGZ,-0.059099824,-2.014659638
KHM,0.156081674,-0.48462887
KIR,0.300858592,-0.404325818
KNA,0.223161087,-0.259323931
KO-,0.006950652,-1.216790444
KOR,0.03995848,-1.393112701
KWT,0.82833064,-0.952304096
LAO,0.019626383,-0.167878364
LBN,0.203093632,-0.717602592
LBR,0.04354112,0.06270985
LBY,0.192755221,-0.450162714
LCA,0.341882634,-0.337809517
LIE,-0.078546557,-1.78172749
LKA,0.053749686,-0.170444768
LSO,-0.088921669,-0.164109871
LTU,-0.220943976,-2.181242738
LUX,-0.076488423,-2.39764424
LVA,-0.263864946,-2.343655824
MAC,0.735403376,-0.710036631
MAF,0.240513672,-0.28971038
MAR,-0.0638322,-0.328838331
MCO,0.049251133,-0.687451226
MDA,-0.002117005,-1.651545276
MDG,-0.044581054,0.222607416
MDV,0.017148778,-0.056963921
MEX,0.280296969,-0.687631959
MHL,0.197023901,-0.243777036
MKD,0.063747353,-1.479680639
MLI,0.0654136,-0.287689695
MLT,0.390256429,-0.714743037
MMR,0.038641628,-0.192160599
MNE,0.020030336,-1.312321189
MNG,0.095099846,-1.854607727
MNP,0.251737404,-0.333164738
MOZ,0.009937211,0.124652638
MRT,0.063629863,-0.360824057
MSR,0.222030587,-0.260402491
MTQ,0.224641579,-0.26491413
MUS,0.06147244,-0.13002237
MWI,-0.028419923,0.235828865
MYS,0.398699726,-0.435581896
MYT,0.216521269,-0.251466797
NAM,0.134615189,-0.392175138
NCL,0.229328466,-0.357888267
NER,0.068821245,-0.286115994
NFK,0.010468871,-0.483904312
NGA,0.072735831,-0.295593039
NIC,0.035750961,-0.102991588
NIU,0.120601717,-0.168410204
NLD,-0.064559238,-1.915156179
NOR,-0.54239849,-2.827424866
NPL,-0.037341112,-0.013333578
NRU,0.295402018,-0.369237708
NZL,0.062715115,-1.130171321
OMN,0.560976906,-0.581671338
PAK,-0.029367025,-0.313654868
PAN,0.340590007,-0.361307337
PCN,0.021166223,-0.238242719
PER,0.133353443,-0.703817829
PHL,0.062342613,-0.208245398
PLW,0.23964389,-0.337608194
PNG,0.09462108,-0.23392958
POL,-0.142980965,-2.02611069
PRI,0.425436596,-0.383182147
PRK,-0.042755255,-1.412308339
PRT,0.217262374,-1.077449378
PRY,-0.002700947,-0.193814689
PSE,0.071083485,-0.399340391
PYF,0.158930955,-0.209485411
QAT,1.586762933,-1.168084937
REU,0.031262473,-0.292101431
ROU,0.012273418,-1.586633414
RUS,-0.367610171,-2.534842587
RWA,-0.076746901,0.23416175
SAU,0.592880466,-0.743015562
SDN,0.077452807,-0.532035401
SEN,0.053229718,-0.095386052
SGP,0.8345872,-0.634687666
SHN,0.019016781,-0.483973457
SJM,-0.420306452,-2.83264555
SLB,0.055010789,-0.085195971
SLE,0.050838752,0.036505469
SLV,0.159802374,-0.278123026
SMR,-0.00792653,-1.10341454
SMX,0.240527108,-0.289733838
SOM,0.048812052,-0.044253016
SPM,-0.069954146,-1.75760077
SRB,0.096790163,-1.387846407
SSD,0.349557111,-0.550327261
STP,-0.031208894,0.17489264
SUR,0.566434342,-0.564699513
SVK,-0.098578026,-1.828163807
SVN,-0.014697802,-1.579627092
SWE,-0.486720886,-2.908455588
SWZ,-0.034210172,-0.161073692
SYC,0.235854822,-0.288404895
SYR,-0.019198096,-0.447754813
TCA,0.176998277,-0.228656816
TCD,0.065714531,-0.231174273
TGO,0.064356181,-0.024644187
THA,0.433206486,-0.550610052
TJK,0.135588669,-1.594814114
TKL,0.252083593,-0.363247586
TKM,0.333669321,-1.079662997
TLS,0.082806018,-0.103499624
TON,0.097444112,-0.161069058
TTO,0.412605838,-0.420470266
TUN,0.090989468,-0.502632563
TUR,0.090486718,-1.063310646
TUV,0.230100527,-0.29234271
TWN,0.495096797,-0.716208204
TZA,-0.008133766,0.198819069
UGA,-0.00351662,0.177646466
UKR,-0.083967382,-1.857823485
UMI,0.190824312,-0.25515828
URY,0.125630991,-0.536137369
USA,0.220774702,-1.581066745
UZB,0.226531077,-1.356107189
VAT,0.066597322,-0.593130639
VCT,0.34200878,-0.364964868
VEN,0.453514028,-0.513697542
VGB,0.234777164,-0.280467462
VIR,0.240447686,-0.295320033
VNM,0.276585398,-0.411707472
VUT,0.183166588,-0.213256532
WLF,0.18487616,-0.210549307
WSM,0.25687012,-0.294626285
YEM,0.270955757,-0.699705466
ZAF,0.159249657,-0.612098916
ZMB,-0.022755743,0.003812069
ZWE,-0.077872898,0.287799045
