region_id,mean_electricity,mean_heatingfuels,region_name
AFG.15.R49ce84ced4420d4c,-0.07847077,-0.636222739,Agglomeration
AFG.15.R9f61a8d4b0fea672,-0.051777031,-0.917145077,Agglomeration
AFG.16.R56f62a5b11d7a76e,-0.083060429,-0.230040825,Agglomeration
AFG.16.R679857e5b8c74688,-0.08158188,-0.124942482,Agglomeration
AFG.17,-0.083539526,-0.314387285,Kunar
AFG.18.197,-0.077251503,-0.162483416,Kunduz
AFG.18.R02a221614471fb78,-0.078420402,-0.175749171,Agglomeration
AFG.18.R3945a21254a36b53,-0.078304641,-0.173554601,Agglomeration
AFG.19.201,-0.029510224,-0.898632433,Dawlat Shah
AFG.19.Rb70c80870c4e3972,-0.08259587,-0.142992784,Agglomeration
AFG.19.Rcd8a19e4e02eef13,-0.082701493,-0.323844324,Agglomeration
AFG.2.16,-0.072765866,-0.567178101,Jawand
AFG.2.20,-0.083735302,-0.32961241,Qala-I-Naw
AFG.2.Re52952e4e6b141e6,-0.083475918,-0.290860978,Agglomeration
AFG.20.204,-0.076102172,-0.607524618,Baraki Barak
AFG.20.R3c3b3822ad703202,-0.067212285,-0.757446707,Agglomeration
AFG.21.212,-0.083767047,-0.184797441,Dara-I-Nur
AFG.21.217,-0.075898288,-0.084211732,Jalal abad
AFG.21.R335bc53b76ceae53,-0.077678594,-0.097157346,Agglomeration
AFG.21.R452a3f16b7c93204,-0.082946969,-0.301542496,Agglomeration
AFG.21.Ra6cf658876a55bf9,-0.074267685,-0.08175907,Agglomeration
AFG.22.231,-0.052966389,-0.143504738,Kang
AFG.22.233,-0.051382059,-0.147546102,Zaranj
AFG.22.R8dc821211617773c,-0.054053325,-0.146170544,Agglomeration
AFG.23,-0.034703935,-0.948430785,Nuristan
AFG.24.252,-0.076409589,-0.273052384,Wolmamay
AFG.24.R6806f602c75dfaa2,-0.077668231,-0.325008406,Agglomeration
AFG.24.Rd61b76c20460e178,-0.076142797,-0.495837224,Agglomeration
AFG.25.255,-0.026161197,-1.25285645,Azro
AFG.25.Rf77ed53d6994d2ee,-0.066808328,-0.749587545,Agglomeration
AFG.26.273,-0.078039684,-0.566040668,Kohi Safi
AFG.26.R4c10bf14a4a7fec7,-0.073429155,-0.731183125,Agglomeration
AFG.26.Ra91fd5c834036528,-0.020583484,-1.249353276,Agglomeration
AFG.27,-0.078449502,-0.533398771,Samangan
AFG.28.R8ad94c036bcb94aa,-0.085030034,-0.333996177,Agglomeration
AFG.28.R93cd63c39aa26547,-0.038816332,-1.206226924,Agglomeration
AFG.29.299,-0.081869264,-0.290168035,Taluqan
AFG.29.300,0.023634043,-1.359117926,Warsaj
AFG.29.R5a453801396807f2,-0.080557125,-0.346792348,Agglomeration
AFG.29.R74fcec17af54c808,-0.072367424,-0.55585211,Agglomeration
AFG.29.R9ff60d55ec253532,-0.081213994,-0.298497868,Agglomeration
AFG.3.23,-0.081593772,-0.204838857,Baghlani Jadid
AFG.3.27,-0.048336482,-1.185746226,Kahmard
AFG.3.32,-0.047449294,-1.044689839,Tala Wa Barfak
AFG.3.R269df99329225b2a,-0.041118514,-1.085794851,Agglomeration
AFG.3.R928d90c14ac77c16,-0.078551665,-0.495618618,Agglomeration
AFG.3.Rfb19c4c0f42445fa,-0.086436506,-0.262453997,Agglomeration
AFG.30.303,-0.055493278,-0.942649304,Day Kundi
AFG.30.R600c8571d9eda691,-0.065939843,-0.706509474,Agglomeration
AFG.30.R922e0ff47dc73fe9,-0.07737021,-0.251089096,Agglomeration
AFG.31.R2cddadc8171d5232,-0.028913105,-1.340232243,Agglomeration
AFG.31.R7533cfa7af80b230,-0.055750814,-0.9874359,Agglomeration
AFG.32,-0.076620917,-0.418059135,Zabul
AFG.4.43,-0.082242675,-0.21696683,Mazar-i-Sharif
AFG.4.R441976f1984e9d4c,-0.083069731,-0.245933628,Agglomeration
AFG.4.Rba8a6cb92a71a1fe,-0.08087122,-0.184348286,Agglomeration
AFG.5,-0.027967857,-1.40899918,Bamyan
AFG.6.R97eede2b941f822e,-0.063556869,-0.12897029,Agglomeration
AFG.6.Re2476cb25c1b5dba,-0.070710737,-0.179799367,Agglomeration
AFG.7.68,-0.085600925,-0.230314495,Khwaja Sabz Posh
AFG.7.R1be1903632a37179,-0.08545323,-0.187962534,Agglomeration
AFG.7.Ra67230a12297e143,-0.074041951,-0.598762991,Agglomeration
AFG.8.77,-0.080778393,-0.458718832,Andar
AFG.8.80,-0.076534459,-0.604712322,Ghazni
AFG.8.R1033466054322fbc,-0.05701422,-0.862563992,Agglomeration
AFG.8.R8c0fc5f856580948,-0.067496922,-0.749822241,Agglomeration
AFG.9.R2de58211a39a05c4,-0.056957805,-0.789568205,Agglomeration
AFG.9.Reee7d1f78893e50f,-0.04634085,-1.078546385,Agglomeration
AGO.1.1,0.040162387,-0.129263999,Ambriz
AGO.1.2,0.045760769,-0.155042959,Dande
AGO.1.3,0.047077655,-0.162324333,Icolo e Bengo
AGO.1.4,0.040046354,-0.137220121,Muxima
AGO.1.5,0.003598514,-0.058161211,Nambuangongo
AGO.10.79,-0.065024167,-0.035782671,Caconda
AGO.10.80,-0.073531797,-0.052727938,Caluquembe
AGO.10.81,-0.069991321,-0.062269581,Chibia
AGO.10.82,-0.044400704,-0.034538305,Chicomba
